start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-01-01 0:31,2017-01-01 1:00,하숙집,신촌,운동,/,/,/,/,/,/,/,/
2017-01-01 1:00,2017-01-01 1:15,하숙집,신촌,씻기,/,/,/,/,/,/,/,/
2017-01-01 1:15,2017-01-01 9:30,하숙집,신촌,취침,/,/,/,/,/,/,/,/
2017-01-01 9:30,2017-01-01 9:34,하숙집,신촌,기상,/,/,/,/,/,/,/,/
2017-01-01 9:34,2017-01-01 9:45,하숙집,신촌,씻기,/,/,/,/,/,/,/,/
2017-01-01 9:45,2017-01-01 9:55,하숙집,신촌,옷입기,/,/,/,/,/,/,/,/
2017-01-01 9:55,2017-01-01 10:00,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 10:00,2017-01-01 10:04,편의점,신촌,음식구매,/,/,/,/,/,/,/,/
2017-01-01 10:04,2017-01-01 10:08,하숙집,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 10:08,2017-01-01 10:21,하숙집,신촌,식사,/,/,/,/,/,/,/,/
2017-01-01 10:21,2017-01-01 10:50,하숙집,신촌,강의듣기,/,/,/,/,/,/,/,/
2017-01-01 10:50,2017-01-01 11:11,하숙집,신촌,음악듣기,/,/,/,/,/,/,/,/
2017-01-01 11:11,2017-01-01 12:10,하숙집,신촌,낮잠,/,/,/,/,/,/,/,/
2017-01-01 12:10,2017-01-01 12:29,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 12:29,2017-01-01 12:33,카페,신촌,커피구매,/,/,/,/,/,/,/,/
2017-01-01 12:33,2017-01-01 12:44,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 12:44,2017-01-01 12:59,위당관B09,신촌,수업대기,/,/,/,/,/,/,/,/
2017-01-01 12:59,2017-01-01 13:51,위당관B09,신촌,수업,/,/,/,/,/,/,/,/
2017-01-01 13:51,2017-01-01 14:01,위당관B09,신촌,휴식시간,/,/,/,/,/,/,/,/
2017-01-01 14:01,2017-01-01 14:50,위당관B09,신촌,수업,/,/,/,/,/,/,/,/
2017-01-01 14:50,2017-01-01 15:01,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 15:01,2017-01-01 15:25,부를샘,신촌,식사,/,/,/,/,/,/,/,/
2017-01-01 15:25,2017-01-01 15:34,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 15:34,2017-01-01 15:58,교육과학관303,신촌,수업대기,/,/,/,/,/,/,/,/
2017-01-01 15:58,2017-01-01 16:49,교육과학관303,신촌,수업,/,/,/,/,/,/,/,/
2017-01-01 16:49,2017-01-01 17:00,교육과학관303,신촌,휴식시간,/,/,/,/,/,/,/,/
2017-01-01 17:00,2017-01-01 17:45,교육과학관303,신촌,수업,/,/,/,/,/,/,/,/
2017-01-01 17:45,2017-01-01 18:01,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 18:01,2017-01-01 21:45,pc방,신촌,게임,/,/,/,/,/,/,/,/
2017-01-01 21:45,2017-01-01 22:01,거리,신촌,걷기,/,/,/,/,/,/,/,/
2017-01-01 22:01,2017-01-01 22:30,하숙집,신촌,운동,/,/,/,/,/,/,/,/
2017-01-01 22:30,2017-01-01 22:45,하숙집,신촌,씻기,/,/,/,/,/,/,/,/
2017-01-01 22:45,2017-01-01 22:46,하숙집,신촌,옷입기,/,/,/,/,/,/,/,/
2017-01-01 22:46,2017-01-02 0:14,하숙집,신촌,유튜브시청,/,/,/,/,/,/,/,/
