start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2016-12-30 00:30:00,2016-12-30 08:31:00,하숙집,신촌,취침,/,/,/,/,/,/,/,/
2016-12-30 08:31:00,2016-12-30 08:33:00,하숙집,신촌,기상,/,/,/,/,/,/,/,/
2016-12-30 08:33:00,2016-12-30 09:10:00,하숙집,신촌,씻기,/,/,/,/,/,/,/,/
2016-12-30 09:10:00,2016-12-30 10:30:00,하숙집,신촌,강의듣기,/,/,/,/,/,/,/,/
2016-12-30 10:30,2016-12-30 10:40,하숙집,신촌,옷입기,/,/,/,/,/,/,/,/
2016-12-30 10:40,2016-12-30 10:55,거리,신촌,걷기,/,/,/,/,/,/,/,/
2016-12-30 10:55,2016-12-30 11:00,거리,신촌,뛰기,/,/,/,/,/,/,/,/
2016-12-30 11:00,2016-12-30 11:50,대강당,신촌,수업,/,/,/,/,/,/,/,/
2016-12-30 11:50,2016-12-30 12:00,거리,신촌,걷기,/,/,/,/,/,/,/,/
2016-12-30 12:00,2016-12-30 12:40,한울샘,신촌,식사,/,/,/,/,/,/,/,/
2016-12-30 12:40,2016-12-30 12:55,거리,신촌,걷기,/,/,/,/,/,/,/,/
2016-12-30 12:55,2016-12-30 13:30,pc방,신촌,게임,/,/,/,/,/,/,/,/
2016-12-30 13:30,2016-12-30 13:50,거리,신촌,걷기,/,/,/,/,/,/,/,/
2016-12-30 13:50,2016-12-30 13:56,거리,신촌,뛰기,/,/,/,/,/,/,/,/
2016-12-30 13:56,2016-12-30 14:00,백양관S204,신촌,수업대기,/,/,/,/,/,/,/,/
2016-12-30 14:00,2016-12-30 14:50,백양관S204,신촌,수업,/,/,/,/,/,/,/,/
2016-12-30 14:50,2016-12-30 14:59,거리,신촌,뛰기,/,/,/,/,/,/,/,/
2016-12-30 14:59,2016-12-30 15:01,교육과학관303,신촌,수업대기,/,/,/,/,/,/,/,/
2016-12-30 15:01,2016-12-30 15:52,교육과학관303,신촌,수업,/,/,/,/,/,/,/,/
2016-12-30 15:52,2016-12-30 16:01,거리,신촌,뛰기,/,/,/,/,/,/,/,/
2016-12-30 16:01,2016-12-30 16:52,공학관C040,신촌,수업,/,/,/,/,/,/,/,/
2016-12-30 16:52,2016-12-30 17:01,공학관C040,신촌,휴식시간,/,/,/,/,/,/,/,/
2016-12-30 17:01,2016-12-30 18:30,공학관C040,신촌,졸기,/,/,/,/,/,/,/,/
2016-12-30 18:30,2016-12-30 19:01,거리,신촌,걷기,/,/,/,/,/,/,/,/
2016-12-30 19:01,2016-12-30 19:22,하숙집,신촌,식사,/,/,/,/,/,/,/,/
2016-12-30 19:22,2016-12-30 19:23,하숙집,신촌,계단이동,/,/,/,/,/,/,/,/
2016-12-30 19:23,2016-12-30 21:40,하숙집,신촌,게임,/,/,/,/,/,/,/,/
2016-12-30 21:40,2016-12-30 22:10,하숙집,신촌,씻기,/,/,/,/,/,/,/,/
2016-12-30 22:10,2016-12-30 22:58,하숙집,신촌,과제,/,/,/,/,/,/,/,/
2016-12-30 22:58,2016-12-30 23:40,하숙집,신촌,게임,/,/,/,/,/,/,/,/
2016-12-30 23:40,2016-12-31 0:10,하숙집,신촌,음악듣기,/,/,/,/,/,/,/,/
