start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-08-20 0:00,2017-08-20 0:05,신촌거리,신촌,걷기,흐림,낮음,보통,보통,/,/,/,/
2017-08-20 0:05,2017-08-20 2:00,집,신촌,게임,흐림,낮음,보통,보통,/,/,/,/
2017-08-20 2:00,2017-08-20 4:00,집,신촌,영상시청,흐림,낮음,피곤함,보통,/,/,/,/
2017-08-20 4:00,2017-08-20 12:00,집,신촌,수면,흐림,낮음,피곤함,보통,/,/,/,/
2017-08-20 12:00,2017-08-20 13:00,집,신촌,외출준비,흐림,낮음,보통,보통,/,/,/,/
2017-08-20 13:00,2017-08-20 13:05,신촌거리,신촌,걷기,비,낮음,보통,보통,/,/,/,/
2017-08-20 13:05,2017-08-20 15:00,신촌카페,신촌,공부,비,낮음,보통,보통,/,/,/,/
2017-08-20 15:00,2017-08-20 15:05,신촌거리,신촌,걷기,비,낮음,보통,보통,/,/,/,/
2017-08-20 15:05,2017-08-20 15:30,식당,신촌,음식섭취,비,낮음,기분좋음,느림,/,/,/,/
2017-08-20 15:30,2017-08-20 15:40,신촌거리,신촌,걷기,비,낮음,기분좋음,느림,/,/,/,/
2017-08-20 15:40,2017-08-20 17:30,헬스장,신촌,운동,비,낮음,기분좋음,빠름,/,/,/,/
2017-08-20 17:30,2017-08-20 17:40,신촌거리,신촌,걷기,비,낮음,기분좋음,느림,/,/,/,/
2017-08-20 17:40,2017-08-20 18:00,집,신촌,샤워,비,낮음,보통,보통,/,/,/,/
2017-08-20 18:00,2017-08-20 19:00,집,신촌,미드감상,비,낮음,보통,보통,/,/,/,/
2017-08-20 19:00,2017-08-20 20:30,집,신촌,수면,비,낮음,기분좋음,느림,/,/,/,/
2017-08-20 20:30,2017-08-20 21:00,집,신촌,음식섭취,비,낮음,보통,보통,/,/,/,/
2017-08-20 21:00,2017-08-20 22:00,집,신촌,공부,비,낮음,보통,느림,/,/,/,/
2017-08-20 22:00,2017-08-21 0:00,집,신촌,컴퓨터게임,비,낮음,기분나쁨,빠름,/,/,/,/
