start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-04-19 0:00,2017-04-19 9:20,집,/,취침,/,/,약간나쁨,/,/,/,/,/
2017-04-19 9:20,2017-04-19 9:30,집,/,기상,/,/,나쁨,/,/,/,/,/
2017-04-19 9:30,2017-04-19 10:00,집,/,씻기,/,/,나쁨,/,/,/,/,/
2017-04-19 10:00,2017-04-19 11:00,학교,/,이동,/,/,나쁨,/,/,/,/,/
2017-04-19 11:00,2017-04-19 13:00,학교,/,수업,/,/,중립,/,/,/,"박성수, 박재웅, 강재윤",/
2017-04-19 13:00,2017-04-19 14:00,식당,/,버거킹,/,/,약간 좋음,/,햄버거세트,/,"박성수, 박재웅",/
2017-04-19 14:00,2017-04-19 15:00,학교,/,수업,/,/,중립,/,/,/,박성수,/
2017-04-19 15:00,2017-04-19 16:30,학교,/,수업,/,/,중립,/,/,/,박재웅,/
2017-04-19 16:30,2017-04-19 17:00,동아리방,/,가방두기,/,/,중립,/,/,/,박성수 박재웅,/
2017-04-19 17:00,2017-04-19 17:30,합주실,/,이동,/,/,약간나쁨,/,/,/,"이의동, 강소미",/
2017-04-19 17:30,2017-04-19 19:00,합주실,/,합주,/,/,약간 좋음,/,/,/,"이의동, 강소미",/
2017-04-19 19:00,2017-04-19 20:30,동아리방,/,숙제,/,/,중립,/,/,/,/,/
2017-04-19 20:30,2017-04-19 21:00,동아리방,/,식사,/,/,중립,/,타코야 치킨,/,동아리원들,/
2017-04-19 21:00,2017-04-19 22:00,동아리방,/,놀기,/,/,약간 좋음,/,/,/,동아리원들,/
2017-04-19 22:00,2017-04-19 23:00,집,/,이동,/,/,약간나쁨,/,/,/,/,/
2017-04-19 23:00,2017-04-19 23:40,집,/,씻기,/,/,약간나쁨,/,/,/,/,/
2017-04-19 23:40,2017-04-20 0:00,집,/,취침,/,/,약간나쁨,/,/,/,/,/
