start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-07-26 1:00,2017-07-26 2:30,집,서울특별시 서대문구 연희동,공부,/,/,의욕,/,/,/,/,/
2017-07-26 2:30,2017-07-26 8:30,집,서울특별시 서대문구 연희동,취침,/,/,피곤,/,/,/,/,/
2017-07-26 8:30,2017-07-26 9:30,집,서울특별시 서대문구 연희동,준비,/,/,졸림,/,/,/,/,/
2017-07-26 9:30,2017-07-26 10:00,/,/,이동,/,/,귀찮음,/,/,/,/,/
2017-07-26 10:00,2017-07-26 11:00,학교_공D,서울특별시 서대문구 신촌동 연세로50 연세대학교,공부,/,/,의욕,/,/,/,친구,/
2017-07-26 11:00,2017-07-26 12:00,학교_공D,서울특별시 서대문구 신촌동 연세로50 연세대학교,공부,/,/,의욕,/,/,/,친구,/
2017-07-26 12:00,2017-07-26 12:20,/,/,이동,/,/,배고픔,/,/,/,친구,/
2017-07-26 12:20,2017-07-26 13:45,시오,서울특별시 서대문구 연희동,식사,/,/,행복,/,/,/,친구,/
2017-07-26 13:45,2017-07-26 14:00,/,/,이동,/,/,귀찮음,/,/,/,친구,/
2017-07-26 14:00,2017-07-26 16:00,학교_공D,서울특별시 서대문구 신촌동 연세로50 연세대학교,공부,/,/,의욕,/,/,/,친구,/
2017-07-26 16:00,2017-07-26 17:00,학교_공D,서울특별시 서대문구 신촌동 연세로50 연세대학교,공부,/,/,의욕,/,/,/,친구,/
2017-07-26 17:00,2017-07-26 18:30,학교_공D,서울특별시 서대문구 신촌동 연세로50 연세대학교,공부,/,/,의욕,/,/,/,친구,/
2017-07-26 18:30,2017-07-26 19:00,학교_공학원,서울특별시 서대문구 신촌동 연세로50 연세대학교,식사,/,/,배고픔,/,/,/,친구,/
2017-07-26 19:00,2017-07-26 21:30,학교_도서관,서울특별시 서대문구 신촌동 연세로50 연세대학교,공부,/,/,의욕,/,/,/,친구,/
2017-07-26 21:30,2017-07-26 21:45,/,/,이동,/,/,피곤,/,/,/,/,/
2017-07-26 21:45,2017-07-26 22:00,집,서울특별시 서대문구 연희동,전화통화,/,/,평온,/,/,/,가족,/
2017-07-26 22:00,2017-07-26 22:30,집,서울특별시 서대문구 연희동,씻기,/,/,귀찮음,/,/,/,/,/
2017-07-26 22:30,2017-07-27 0:30,집,서울특별시 서대문구 연희동,공부,/,/,피곤,/,/,/,/,/
