start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-08-23 0:00,2017-08-23 0:40,집,신촌,SNS,맑음,낮음,보통,느림,/,/,/,/
2017-08-23 0:40,2017-08-23 9:00,집,신촌,수면,맑음,낮음,/,느림,/,/,/,/
2017-08-23 9:00,2017-08-23 9:30,집,신촌,샤워,맑음,낮음,피곤함,느림,/,/,/,/
2017-08-23 9:30,2017-08-23 9:40,집,신촌,옷입기,맑음,낮음,피곤함,느림,/,/,/,/
2017-08-23 9:40,2017-08-23 9:45,집,신촌,거울보기,맑음,낮음,기분나쁨,느림,/,/,/,/
2017-08-23 9:45,2017-08-23 10:00,신촌거리,신촌,걷기,맑음,낮음,보통,보통,/,/,/,/
2017-08-23 10:00,2017-08-23 10:50,강의실,신촌,수업,맑음,낮음,보통,보통,/,/,/,/
2017-08-23 10:50,2017-08-23 11:00,강의실,신촌,SNS,맑음,낮음,기분좋음,보통,/,/,/,/
2017-08-23 11:00,2017-08-23 11:50,강의실,신촌,수업,맑음,낮음,배고픔,보통,/,/,/,/
2017-08-23 11:50,2017-08-23 12:05,캠퍼스,신촌,걷기,맑음,낮음,배고픔,보통,/,/,/,/
2017-08-23 12:05,2017-08-23 12:45,씽씽,신촌,식사,맑음,낮음,기분좋음,보통,/,/,/,/
2017-08-23 12:45,2017-08-23 12:55,캠퍼스,신촌,걷기,맑음,낮음,피곤함,보통,/,/,/,/
2017-08-23 12:55,2017-08-23 13:45,도서관,신촌,수면,맑음,낮음,/,느림,/,/,/,/
2017-08-23 13:45,2017-08-23 14:00,캠퍼스,신촌,걷기,맑음,낮음,기분좋음,보통,/,/,/,/
2017-08-23 14:00,2017-08-23 15:40,강의실,신촌,수업,맑음,낮음,지루함,느림,/,/,/,/
2017-08-23 15:40,2017-08-23 16:00,캠퍼스,신촌,걷기,맑음,낮음,보통,보통,/,/,장종원,/
2017-08-23 16:00,2017-08-23 16:45,교수님연구실,신촌,소종 면담,맑음,낮음,지루함,보통,/,/,장종원,/
2017-08-23 16:45,2017-08-23 17:50,한울샘,신촌,커피,맑음,낮음,보통,보통,/,/,/,/
2017-08-23 17:50,2017-08-23 18:00,캠퍼스,신촌,걷기,맑음,낮음,보통,보통,/,/,/,/
2017-08-23 18:00,2017-08-23 19:40,헬스장,신촌,운동,맑음,보통,힘듦,빠름,/,/,/,/
2017-08-23 19:40,2017-08-23 20:00,신촌거리,신촌,걷기,맑음,보통,힘듦,보통,/,/,/,/
2017-08-23 20:00,2017-08-23 20:20,집,신촌,샤워,맑음,보통,피곤함,보통,/,/,/,/
2017-08-23 20:20,2017-08-23 20:40,집,신촌,식사,맑음,보통,피곤함,보통,/,/,/,/
2017-08-23 20:40,2017-08-23 21:40,집,신촌,영상통화,맑음,보통,보통,느림,/,/,사나,/
2017-08-23 21:40,2017-08-23 23:20,집,신촌,과제,맑음,보통,보통,느림,/,/,/,/
2017-08-23 23:20,2017-08-24 0:00,집,신촌,SNS,맑음,보통,보통,느림,/,/,/,/
