start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-03-06 2:00,2017-03-06 2:30,세면,집,세면,보통,/,/,/,/,/,나,/
2017-03-06 2:30,2017-03-06 7:00,수면,집,수면,보통,/,/,/,/,/,나,/
2017-03-06 7:00,2017-03-06 7:50,학교로 이동,버스,학교로 이동,보통,/,/,/,/,/,나,/
2017-03-06 7:50,2017-03-06 8:40,아침식사,학생식당,아침식사,보통,/,/,/,학식,/,나,/
2017-03-06 8:40,2017-03-06 9:50,공부,도서관,공부,보통,/,/,/,/,/,나,/
2017-03-06 9:50,2017-03-06 10:00,커피 주문,한울샘,커피 주문,보통,/,/,/,/,/,나,/
2017-03-06 10:00,2017-03-06 11:50,시험,학교,시험,보통,/,/,/,커피,/,나,/
2017-03-06 11:50,2017-03-06 12:00,담배,학교,담배,보통,/,/,/,/,/,나,/
2017-03-06 12:00,2017-03-06 12:40,점심식사,학교,점심식사,보통,/,/,/,/,/,나,/
2017-03-06 12:40,2017-03-06 14:40,휴식,학교,휴식,보통,/,/,/,/,/,나,/
2017-03-06 14:40,2017-03-06 14:50,커피주문,한울샘,커피주문,보통,/,/,/,/,/,나,/
2017-03-06 14:50,2017-03-06 15:00,강의실로 이동,학교,강의실로 이동,보통,/,/,/,/,/,나,/
2017-03-06 15:00,2017-03-06 16:40,수업,학교,수업,보통,/,/,/,/,/,나,/
2017-03-06 16:40,2017-03-06 17:20,휴식,도서관,휴식,보통,/,/,/,/,/,나,/
2017-03-06 17:20,2017-03-06 18:30,과제,도서관,과제,보통,/,/,/,/,/,나,/
2017-03-06 18:30,2017-03-06 19:00,저녁식사,학생식당,저녁식사,보통,/,/,/,학식,/,나,/
2017-03-06 19:00,2017-03-06 19:40,집으로 이동,버스,집으로 이동,보통,/,/,/,/,/,나,/
2017-03-06 19:40,2017-03-06 23:30,게임,집,게임,보통,/,/,/,/,/,나,/
2017-03-06 23:30,2017-03-07 0:00,세면,집,세면,보통,/,/,/,/,/,나,/
