start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-03-19 9:00,2017-03-19 9:05, 집,서대문구 연희동,기상,보통,보통,화남,보통,/,/,/,/
2017-03-19 9:05,2017-03-19 9:30, 집,서대문구 연희동,페이스북,보통,보통,편안함,중간,/,/,/,/
2017-03-19 9:30,2017-03-19 9:45, 집,서대문구 연희동,씻기,습함,습함,편안함,중간,/,/,/,/
2017-03-19 9:45,2017-03-19 9:50, 집,서대문구 연희동,옷입기,보통,보통,중립,중간,/,/,/,/
2017-03-19 9:50,2017-03-19 10:05, 집,서대문구 연희동,식사,보통,보통,중립,중간,/,/,/,/
2017-03-19 10:05,2017-03-19 10:15, 집,서대문구 연희동,설거지,보통,보통,중립,중간,/,/,/,/
2017-03-19 10:15,2017-03-19 11:05, 도서관,서대문구 신촌동,이동,건조,건조,우울,빠름,/,/,/,/
2017-03-19 11:05,2017-03-19 11:08, 도서관,서대문구 신촌동,좌석예약,건조,건조,중립,중간,/,/,/,/
2017-03-19 11:08,2017-03-19 13:00, 도서관,서대문구 신촌동,공부,건조,건조,우울함,중간,/,/,/,/
2017-03-19 13:00,2017-03-19 13:10, 학관,서대문구 신촌동,이동,건조,건조,행복,빠름,/,/,/,/
2017-03-19 13:10,2017-03-19 13:55, 학관,서대문구 신촌동,식사,보통,보통,행복함,중간,/,/,과친구들,/
2017-03-19 13:55,2017-03-19 14:00, 공D,서대문구 신촌동,뛰기,건조,건조,화남,빠름,/,/,과친구들,/
2017-03-19 14:00,2017-03-19 14:50, 공D,서대문구 신촌동,수업,보통,보통,중립,중간,/,/,과친구들,/
2017-03-19 14:50,2017-03-19 15:00, 도서관,서대문구 신촌동,이동,건조,건조,중립,중간,/,/,/,/
2017-03-19 15:00,2017-03-19 15:20, 도서관,서대문구 신촌동,페이스북,건조,건조,행복함,중간,/,/,/,/
2017-03-19 15:20,2017-03-19 16:00, 도서관,서대문구 신촌동,스터디준비,건조,건조,중립,중간,/,/,/,/
2017-03-19 16:00,2017-03-19 16:10, 화장실,서대문구 신촌동,배변활동,보통,보통,편안함,중간,/,/,/,/
2017-03-19 16:10,2017-03-19 16:50, 도서관,서대문구 신촌동,공부(데이터베이스),건조,건조,중립,중간,/,/,/,/
2017-03-19 16:50,2017-03-19 17:00, 학관,서대문구 신촌동,걷기(이동),건조,건조,행복함,중간,/,/,과친구,/
2017-03-19 17:00,2017-03-19 17:35, 학관식당,서대문구 신촌동,식사,보통,보통,행복함,중간,/,/,과친구,/
2017-03-19 17:35,2017-03-19 17:45, 도서관,서대문구 신촌동,걷기(이동),건조,건조,우울함,중간,/,/,/,/
2017-03-19 17:45,2017-03-19 18:00, 도서관,서대문구 신촌동,페이스북,건조,건조,행복함,중간,/,/,/,/
2017-03-19 18:00,2017-03-19 19:30, 도서관,서대문구 신촌동,스터디,건조,건조,행복함,중간,/,/,스터디 사람들,/
2017-03-19 19:30,2017-03-19 19:50, 매점,서대문구 신촌동,식사(간식),건조,건조,행복함,중간,/,/,/,/
2017-03-19 19:50,2017-03-19 19:57, 도서관,서대문구 신촌동,걷기,건조,건조,우울함,중간,/,/,/,/
2017-03-19 19:57,2017-03-19 21:30, 도서관,서대문구 신촌동,공부(데이터베이스),건조,건조,중립,중간,/,/,/,/
2017-03-19 21:30,2017-03-19 21:50, 도서관,서대문구 신촌동,전화(여자친구와),건조,건조,행복함,중간,/,/,/,/
2017-03-19 21:50,2017-03-19 23:00, 도서관,서대문구 신촌동,과제(PL),건조,건조,화남,빠름,/,/,/,/
2017-03-19 23:00,2017-03-19 23:20, 집,서대문구 연희동,이동,건조,건조,행복함,중간,/,/,/,/
2017-03-19 23:20,2017-03-19 23:35, 집,서대문구 연희동,씻기,습함,습함,편안함,중간,/,/,/,/
2017-03-19 23:35,2017-03-20 0:10, 집,서대문구 연희동,페이스북,건조,건조,행복함,중간,/,/,/,/
