start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-07-15 1:00,2017-07-15 1:30,집,서울특별시 서대문구 연희동,운동,/,/,피곤,/,/,/,/,/
2017-07-15 1:30,2017-07-15 10:00,집,서울특별시 서대문구 연희동,취침,/,/,평온,/,/,/,/,/
2017-07-15 10:00,2017-07-15 10:15,집,서울특별시 서대문구 연희동,식사준비,/,/,평온,/,/,/,/,/
2017-07-15 10:15,2017-07-15 10:30,집,서울특별시 서대문구 연희동,식사,/,/,평온,/,/,/,/,/
2017-07-15 10:30,2017-07-15 12:00,집,서울특별시 서대문구 연희동,준비,/,/,귀찮음,/,/,/,/,/
2017-07-15 12:00,2017-07-15 13:00,/,/,이동,/,/,귀찮음,/,/,/,/,/
2017-07-15 13:00,2017-07-15 16:30,알바학원,서울특별시 강서구 가양동,강의,/,/,피곤,/,/,/,고등학생,/
2017-07-15 16:30,2017-07-15 17:30,/,/,이동,/,/,배고픔,/,/,/,/,/
2017-07-15 17:30,2017-07-15 18:00,집,서울특별시 서대문구 연희동,식사준비,/,/,배고픔,/,/,/,/,/
2017-07-15 18:00,2017-07-15 18:30,집,서울특별시 서대문구 연희동,식사,/,/,평온,/,/,/,/,/
2017-07-15 18:30,2017-07-15 20:00,집,서울특별시 서대문구 연희동,휴식,/,/,평온,/,/,/,/,/
2017-07-15 20:00,2017-07-15 22:00,집,서울특별시 서대문구 연희동,공부,/,/,의욕,/,/,/,/,/
2017-07-15 22:00,2017-07-15 22:30,집,서울특별시 서대문구 연희동,전화통화,/,/,평온,/,/,/,가족,/
2017-07-15 22:30,2017-07-15 23:00,집,서울특별시 서대문구 연희동,운동,/,/,/,/,/,/,/,/
2017-07-15 23:00,2017-07-16 0:00,집,서울특별시 서대문구 연희동,씻기,/,/,평온,/,/,/,/,/
