start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-05-05 1:30,2017-05-05 9:00,집-침대,/,취침,보통,/,맑음,/,/,/,나,/
2017-05-05 9:00,2017-05-05 9:30,집-부엌,/,"기상 후 아침식사, 음악 감상",맑음,/,건강해지는 기분.,/,시리얼 요거트,/,나,/
2017-05-05 9:30,2017-05-05 10:00,집-방,/,음악이론 자료 확인 및 음악감상,맑음,/,적당한 지적 포만감,/,물 한컵,/,나,/
2017-05-05 10:00,2017-05-05 10:30,집-방,/,영화의 이해 레포트 자료 수집,조금 먹구름이 있음.,/,시작했다는 만족.,/,/,/,나,/
2017-05-05 10:30,2017-05-05 10:55,길,/,학교 강의실로 이동,조금 먹구름이 있음.,/,가뿐하고 내적 평온.,/,/,/,나,/
2017-05-05 10:55,2017-05-05 12:50,음117,/,강의 수강 및 휴식시간,조금 먹구름이 있음 ( 실내 ),/,새로운것들을 알게됨.,/,/,/,"나, 클래스 구성원들",/
2017-05-05 12:50,2017-05-05 13:40,학교~학교 근처전주비빔밥,/,점심식사,맑음,/,에너지 충전. 건강해진 기분.,/,치즈돌솥비빔밥,/,나,/
2017-05-05 13:40,2017-05-05 13:50,전주비빔밥 ~ 백미당,/,디저트,맑음,/,건강해진 기분. 상쾌.,/,소프트 아이스크림,/,나,/
2017-05-05 13:50,2017-05-05 14:40,백미당 ~ 공학원 1층,/,공학원에서 공부,맑음,/,약간의 성취감. 이전보다 평온해짐.,/,/,/,나,/
2017-05-05 14:40,2017-05-05 14:50,공학원 1층 ~ 위당관,/,강의실로 이동,맑음,/,조급하지 않음.,/,/,/,나,/
2017-05-05 14:50,2017-05-05 16:50,위당관 B09,/,강의 수강 및 휴식시간,맑음,/,기쁨. 새로운 시각을 얻음.,/,/,/,"나, 클래스 구성원들",/
2017-05-05 16:50,2017-05-05 17:30,마트,/,마트 방문,맑음,/,식사할 생각에 기쁨.,/,/,/,나,/
2017-05-05 17:30,2017-05-05 17:40,길,/,집으로 이동,맑음,/,해가 지면서 차분하게 가라앉는 마음.,/,/,/,나,/
2017-05-05 17:40,2017-05-05 18:30,집-부엌,/,저녁 식사 및 설거지,맑음,/,하루 마무리의 시작이 평온.,/,콩나물국 백반,/,나,/
2017-05-05 18:30,2017-05-05 19:10,길,/,음악 감상 및 산책,맑음,/,활력 있고 신남.,/,/,/,나,/
2017-05-05 19:10,2017-05-05 19:30,집-화장실,/,샤워,맑음,/,개운함.,/,/,/,나,/
2017-05-05 19:30,2017-05-05 21:00,집,/,영화 감상,맑음,/,"영화의 감성으로부터 영향받음. ( 평온, 기쁨 )",/,/,/,나,/
2017-05-05 21:00,2017-05-05 22:00,집-방,/,레포트 작성,맑음,/,"평온, 기쁨.",/,/,/,나,/
2017-05-05 22:00,2017-05-05 23:00,집-방,/,음악이론 과제,맑음,/,"평온, 기쁨.",/,/,/,나,/
2017-05-05 23:00,2017-05-05 23:20,집-방,/,친구와 통화,맑음,/,기쁨.,/,/,/,나,/
2017-05-05 23:20,2017-05-05 23:30,집-침대,/,"취침준비, 기록, 라디오 청취",맑음,/,"평온, 기쁨.",/,/,/,나,/
2017-05-05 23:30,2017-05-06 10:00,집-침대,/,수면,맑음,/,"평온, 기쁨.",/,/,/,나,/
