start_time,end_time,place,address,activity,temperature,humid,emotion,heart_rate,food,eeg,person,music
2017-04-11 8:05,2017-04-11 8:05,방,/,듣기,/,/,정신없음,/,/,/,/,/
2017-04-11 8:05,2017-04-11 8:05,방,/,끄기,/,/,졸림,/,/,/,/,/
2017-04-11 8:05,2017-04-11 8:07,방,/,깨움,/,/,졸림,/,/,/,/,/
2017-04-11 8:07,2017-04-11 8:10,방,/,확인하기,/,/,졸림,/,/,/,/,/
2017-04-11 8:10,2017-04-11 8:11,방,/,확인하기,/,/,잠이 깸,/,/,/,제이슨,/
2017-04-11 8:11,2017-04-11 8:12,방,/,이동하기,/,/,/,/,/,/,제이슨,/
2017-04-11 8:12,2017-04-11 8:14,게스트하우스 거실,/,대화하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 8:14,2017-04-11 8:35,화장실,/,씻기,/,/,개운함,/,/,/,/,/
2017-04-11 8:35,2017-04-11 8:36,화장실,/,이동하기,/,/,개운함,/,/,/,/,/
2017-04-11 8:36,2017-04-11 8:40,방,/,확인하기,/,/,개운함,/,/,/,/,/
2017-04-11 8:40,2017-04-11 8:42,방,/,환복,/,/,/,/,/,/,/,/
2017-04-11 8:42,2017-04-11 8:43,방,/,이동하기,/,/,/,/,/,/,/,/
2017-04-11 8:43,2017-04-11 8:48,게스트하우스 거실,/,SNS하기,/,/,/,/,/,/,/,/
2017-04-11 8:48,2017-04-11 8:48,게스트하우스 거실,/,먹기,/,/,맛있음,/,토스트,/,로빈과 제이슨,/
2017-04-11 8:48,2017-04-11 8:48,게스트하우스 거실,/,마시기,/,/,맛있음,/,스프,/,로빈과 제이슨,/
2017-04-11 8:48,2017-04-11 9:02,게스트하우스 거실,/,대화하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 9:02,2017-04-11 9:04,게스트하우스 거실,/,검색하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 9:04,2017-04-11 9:08,게스트하우스 거실,/,이동하기,/,/,배부름,/,/,/,로빈과 제이슨,/
2017-04-11 9:08,2017-04-11 9:10,거리,/,확인하기,/,/,조급해짐,/,/,/,로빈과 제이슨,/
2017-04-11 9:10,2017-04-11 9:10,버스정류장,/,대기하기,/,/,좌절,/,/,/,로빈과 제이슨,/
2017-04-11 9:10,2017-04-11 9:33,버스정류장,/,대화하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 9:33,2017-04-11 9:38,버스정류장,/,탑승하기,/,/,반가움,/,/,/,로빈과 제이슨,/
2017-04-11 9:38,2017-04-11 9:40,버스,/,인지함,/,/,화가남,/,/,/,로빈과 제이슨,/
2017-04-11 9:40,2017-04-11 9:40,버스,/,하차하기,/,/,허탈함,/,/,/,로빈과 제이슨,/
2017-04-11 9:40,2017-04-11 9:42,버스정류장,/,기다리기,/,/,억울함,/,/,/,로빈과 제이슨,/
2017-04-11 9:42,2017-04-11 9:42,버스정류장,/,탑승하기,/,/,반가움,/,/,/,로빈과 제이슨,/
2017-04-11 9:42,2017-04-11 9:42,버스정류장,/,이동하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 9:42,2017-04-11 9:50,택시,/,대화하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 9:50,2017-04-11 9:55,택시,/,검색하기,/,/,슬픔,/,/,/,로빈과 제이슨,/
2017-04-11 9:55,2017-04-11 9:58,택시,/,통화하기,/,/,고마움,/,/,/,제이슨,/
2017-04-11 9:58,2017-04-11 10:05,택시,/,검색하기,/,/,기쁨,/,/,/,로빈과 제이슨,/
2017-04-11 10:05,2017-04-11 10:05,택시,/,계산하기,/,/,/,/,/,/,로빈과 제이슨,/
2017-04-11 10:05,2017-04-11 10:05,감천문화마을,/,구경하기,/,/,즐거움,/,/,/,로빈과 제이슨,/
