start_time,end_time,activity,place,address,location,person,food,amountOfFood,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-04 0:00,2018-09-04 0:25,수동적 여가|스마트폰,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 0:25,2018-09-04 5:55,수면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 5:55,2018-09-04 6:20,기타|샤워,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,낮음,보통
2018-09-04 6:20,2018-09-04 7:20,이동|출근,대중교통|지하철,서울시 송파구 오륜동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-04 7:20,2018-09-04 7:30,식사,카페|스타벅스,서울시 영등포구 여의도동,실내,데면한 관계|동료,기타|커피,적음,간식,예,부정,높음,보통,보통
2018-09-04 7:30,2018-09-04 8:00,공부|독서,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-04 8:00,2018-09-04 8:25,업무|회의,사무실|회의실,서울시 영등포구 여의도동,실내,데면한 관계|팀원,/,/,/,예,보통,높음,보통,보통
2018-09-04 8:25,2018-09-04 9:00,업무|거래 준비,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-04 9:00,2018-09-04 11:20,업무|거래,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-04 11:20,2018-09-04 11:50,식사,사무실,서울시 영등포구 여의도동,실내,혼자,한식|도시락,보통,점심,예,보통,높음,보통,보통
2018-09-04 11:50,2018-09-04 11:55,이동,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-09-04 11:55,2018-09-04 12:00,이동,카페|스타벅스,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-09-04 12:00,2018-09-04 12:15,식사,사무실,서울시 영등포구 여의도동,실내,혼자,기타|커피,적음,간식,예,부정,높음,보통,보통
2018-09-04 12:15,2018-09-04 15:30,업무|거래,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 15:30,2018-09-04 16:10,업무|거래내역 정리,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,부정,높음,보통,낮음
2018-09-04 16:10,2018-09-04 16:35,업무|보고서 작성,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,낮음
2018-09-04 16:35,2018-09-04 17:10,업무|알고리즘 수정,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,매우 높음,보통,낮음
2018-09-04 17:10,2018-09-04 17:15,이동,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,높음,보통,낮음
2018-09-04 17:10,2018-09-04 17:50,업무|회의,사무실|회의실,서울시 영등포구 여의도동,실내,데면한 관계|팀원,/,/,/,예,보통,매우 높음,보통,낮음
2018-09-04 17:10,2018-09-04 17:10,이동,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,부정,높음,보통,낮음
2018-09-04 17:50,2018-09-04 19:05,업무|거래 준비,사무실,서울시 영등포구 여의도동,실내,혼자,/,/,/,예,긍정,높음,보통,낮음
2018-09-04 19:05,2018-09-04 20:15,이동,대중교통|지하철,서울시 영등포구 여의도동,실외,혼자,/,/,/,예,긍정,높음,높음,높음
2018-09-04 20:15,2018-09-04 21:05,식사,식당,서울시 강남구 역삼동,실내,친밀한 관계|형렬,양식|파스타,많음,저녁,예,매우 긍정,높음,높음,높음
2018-09-04 21:05,2018-09-04 21:45,이동,대중교통|택시,서울시 강남구 역삼동,실외,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-04 21:45,2018-09-04 22:15,청소,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 22:15,2018-09-04 22:30,기타|빨래,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 22:30,2018-09-04 22:40,사교|통화,집,서울시 송파구 오륜동,실내,친밀한 관계|엄마,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 22:40,2018-09-04 22:55,기타|설거지,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-04 22:55,2018-09-04 23:15,기타|샤워,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,긍정,높음,낮음,보통
2018-09-04 23:15,2018-09-04 23:40,공부|독서,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,보통
2018-09-04 23:40,2018-09-04 23:59,수면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
