start_time,end_time,activity,place,address,location,person,food,amountOfFood,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-07 0:00,2018-09-07 1:25,수동적 여가|스마트폰,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 1:25,2018-09-07 9:35,수면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 9:35,2018-09-07 9:50,기타|샤워,집,서울시 송파구 오륜동,실내,혼자,/,/,/,예,보통,매우 높음,낮음,보통
2018-09-07 9:50,2018-09-07 10:20,식사,집,서울시 송파구 오륜동,실내,혼자,한식|밥,적음,아침,아니오,긍정,매우 높음,낮음,보통
2018-09-07 10:20,2018-09-07 11:20,능동적 여가|게임,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 11:20,2018-09-07 12:15,이동,대중교통|지하철,서울시 송파구 오륜동,실외,혼자,/,/,/,예,긍정,높음,보통,높음
2018-09-07 12:15,2018-09-07 12:45,식사,식당,서울시 강남구 역삼동,실내,친밀한 관계|창열,한식|생선구이,보통,점심,예,긍정,보통,보통,보통
2018-09-07 12:45,2018-09-07  13:05:00 PM,이동,기타|기타|도보,서울시 강남구 역삼동,실외,친밀한 관계|창열,/,/,/,예,보통,보통,보통,보통
2018-09-07  13:05:00 PM,2018-09-07  14:30:00 PM,능동적 여가|쇼핑,기타,서울시 강남구 압구정동,실외,친밀한 관계|창열,/,/,/,예,보통,보통,보통,보통
2018-09-07  14:30:00 PM,2018-09-07  14:55:00 PM,이동,대중교통택시,서울시 강남구 압구정동,실외,혼자,/,/,/,예,부정,높음,보통,높음
2018-09-07  14:55:00 PM,2018-09-07  15:55:00 PM,능동적 여가|게임,집,서울시 송파구 오륜동,실내,혼자,/,/,/,예,부정,보통,보통,낮음
2018-09-07  15:55:00 PM,2018-09-07  16:10:00 PM,청소,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07  16:10:00 PM,2018-09-07  16:25:00 PM,기타|빨래,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07  16:25:00 PM,2018-09-07  16:35:00 PM,이동,기타|기타|도보,서울시 송파구 오륜동,실외,혼자,/,/,/,예,부정,보통,보통,보통
2018-09-07  16:35:00 PM,2018-09-07  16:55:00 PM,능동적 여가|산책,공원,서울시 송파구 방이동,실외,혼자,/,/,/,아니오,부정,보통,보통,낮음
2018-09-07  16:55:00 PM,2018-09-07  17:05:00 PM,이동,기타|기타|도보,서울시 송파구 오륜동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-07  17:05:00 PM,2018-09-07 17:15,수동적 여가|스마트폰,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 17:15,2018-09-07 17:40,공부|독서,집,서울시 송파구 오륜동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-07 17:40,2018-09-07 17:50,식사,집,서울시 송파구 오륜동,실내,혼자,기타|과자,적음,간식,예,긍정,보통,낮음,보통
2018-09-07 17:50,2018-09-07 18:30,이동,대중교통|버스,서울시 송파구 방이동,실외,혼자,/,/,/,아니오,보통,보통,보통,낮음
2018-09-07 18:30,2018-09-07 19:20,식사,식당,서울시 송파구 방이동,실내,친밀한 관계|홍선,양식|스테이크,보통,저녁,예,긍정,보통,보통,낮음
2018-09-07 19:20,2018-09-07 19:30,이동,기타|기타|도보,서울시 송파구 방이동,실외,친밀한 관계|홍선,/,/,/,아니오,보통,보통,보통,낮음
2018-09-07 19:30,2018-09-07 20:15,사교,카페,서울시 송파구 방이동,실내,친밀한 관계|홍선,기타|커피,적음,간식,아니오,긍정,보통,높음,높음
2018-09-07 20:15,2018-09-07 20:30,이동,대중교통|버스,서울시 송파구 방이동,실외,혼자,/,/,/,아니오,보통,보통,보통,낮음
2018-09-07 20:30,2018-09-07 20:45,기타|샤워,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-07 20:45,2018-09-07 22:30,기타|빨래,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 22:30,2018-09-07 22:55,기타|설거지,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 22:55,2018-09-07 23:45,수동적 여가|TV 시청,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 23:45,2018-09-07 23:50,기타|세면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,보통
2018-09-07 23:50,2018-09-07 23:59,수면,집,서울시 송파구 오륜동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
