start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,,,,,,,,,
2018-10-03 7:00,2018-10-03 7:40,수면,집,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-10-03 7:40,2018-10-03 8:00,기타,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-10-03 8:10,2018-10-03 8:50,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-10-03 8:50,2018-10-03 9:00,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-10-03 9:10,2018-10-03 9:50,식사,집,서울시 서대문구 연희동,실내,혼자,양식 | steak,적음,아침,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-10-03 9:50,2018-10-03 10:00,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-10-03 10:00,2018-10-03 11:00,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-10-03 11:00,2018-10-03 11:10,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 11:10,2018-10-03 11:30,식사,학교,서울시 서대문구 연희동,실내,혼자,간식,적음,간식,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 11:40,2018-10-03 12:50,공부,학교|공D605,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 12:50,2018-10-03 13:00,공부,학교|공D605,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 13:00,2018-10-03 13:10,이동,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 13:10,2018-10-03 13:40,공부,학교|공D504,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 13:40,2018-10-03 13:50,이동,학교,서울시 서대문구 연희동,실외,데면한 사람|수미,/,/,/,예,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 13:50,2018-10-03 14:40,공부,학교|위B09,서울시 서대문구 연희동,실내,데면한 사람|민지,/,/,/,예,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 14:40,2018-10-03 14:50,이동,야외,서울시 서대문구 연희동,실외,데면한 사람|수미,양식 | spaghetti pasta,적음,점식,예,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 14:50,2018-10-03 15:30,식사,식당,서울시 서대문구 연희동,실내,친밀한 사람|영수,양식 | spaghetti pasta,적음,점식,예,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 15:30,2018-10-03 15:55,식사,식당,서울시 서대문구 연희동,실내,친밀한 사람|영수,양식 | spaghetti pasta,적음,점식,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 16:00,2018-10-03 16:10,이동,야외,서울시 서대문구 연희동,실외,친밀한 사람|영수,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 16:10,2018-10-03 16:40,공부,카페,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 16:40,2018-10-03 16:50,공부,카페,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 16:50,2018-10-03 17:30,식사,카페,서울시 서대문구 연희동,실내,혼자,간식,적음,간식,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 17:30,2018-10-03 17:40,이동,야외,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 17:40,2018-10-03 19:00,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 19:00,2018-10-03 20:00,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-10-03 20:00,2018-10-03 20:30,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,높음,높음,,,,,,,,,
2018-10-03 20:30,2018-10-03 21:00,능동적 여가|TV,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,낮음,낮음,높음,,,,,,,,,
2018-10-03 21:10,2018-10-03 21:20,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,낮음,높음,,,,,,,,,
2018-10-03 21:30,2018-10-03 21:50,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,예,보통,낮음,낮음,높음,,,,,,,,,
2018-10-03 21:50,2018-10-03 21:59,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,아니오,보통,낮음,낮음,높음,,,,,,,,,
