start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,,,,,,,,,
2018-09-25 6:00,2018-09-25 6:30,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-09-25 6:30,2018-09-25 7:00,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-09-25 7:00,2018-09-25 8:20,식사,집,서울시 서대문구 연희동,실내,혼자,한식| 라면,적음,아침,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-09-25 8:20,2018-09-25 8:40,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-09-25 8:40,2018-09-25 8:50,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-25 9:00,2018-09-25 9:40,이동,야외,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,높음,,,,,,,,,
2018-09-25 10:00,2018-09-25 11:00,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,보통,,,,,,,,,
2018-09-25 11:00,2018-09-25 11:30,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통,,,,,,,,,
2018-09-25 11:30,2018-09-25 12:00,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통,,,,,,,,,
2018-09-25 12:00,2018-09-25 13:00,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,높음,보통,,,,,,,,,
2018-09-25 13:00,2018-09-25 13:22,식사,식당,서울시 서대문구 연희동,실내,혼자,양식| steak,적음,점식,예,보통,낮음,높음,보통,,,,,,,,,
2018-09-25 13:30,2018-09-25 14:00,공부,식당,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,보통,,,,,,,,,
2018-09-25 14:00,2018-09-25 14:40,공부,학교|도서관,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-09-25 15:00,2018-09-25 15:30,공부,학교|도서관,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-09-25 15:30,2018-09-25 16:00,공부,학교|도서관,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,예,긍정,높음,높음,높음,,,,,,,,,
2018-09-25 16:00,2018-09-25 16:30,공부,학교|도서관,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,높음,보통,,,,,,,,,
2018-09-25 16:49,2018-09-25 17:00,식사,학교|도서관,서울시 서대문구 연희동,실내,혼자,기타 | milk,적음,간식,예,보통,높음,높음,보통,,,,,,,,,
2018-09-25 17:00,2018-09-25 17:10,식사,학교|도서관,서울시 서대문구 연희동,실내,혼자,기타 | milk,적음,간식,아니오,보통,높음,높음,보통,,,,,,,,,
2018-09-25 17:20,2018-09-25 18:00,공부,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-09-25 18:00,2018-09-25 18:20,이동,학교,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,긍정,높음,높음,보통,,,,,,,,,
2018-09-25 18:30,2018-09-25 19:00,공부,학교|공D504,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,높음,낮음,보통,,,,,,,,,
2018-09-25 19:00,2018-09-25 19:30,공부,학교|공D504,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,높음,낮음,보통,,,,,,,,,
2018-09-25 19:30,2018-09-25 20:00,공부,학교|공D504,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,예,보통,높음,낮음,보통,,,,,,,,,
2018-09-25 20:00,2018-09-25 20:14,식사,상점|편의점,서울시 서대문구 연희동,실내,혼자,기타,적음,간식,아니오,보통,높음,낮음,보통,,,,,,,,,
2018-09-25 20:15,2018-09-25 20:45,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-09-25 20:45,2018-09-25 21:00,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,높음,보통,,,,,,,,,
2018-09-25 21:00,2018-09-25 21:20,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,낮음,보통,,,,,,,,,
2018-09-25 21:20,2018-09-25 22:00,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,낮음,높음,,,,,,,,,
2018-09-25 22:00,2018-09-25 22:20,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,예,긍정,높음,낮음,높음,,,,,,,,,
2018-09-25 22:20,2018-09-25 22:30,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,아니오,긍정,높음,낮음,높음,,,,,,,,,
