start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,,,,,,,,,
2018-10-02 7:00,2018-10-02 7:30,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-02 7:30,2018-10-02 8:00,기타,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-02 8:00,2018-10-02 8:30,식사,집,서울시 서대문구 연희동,실내,혼자,한식 | 라면,적음,아침,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-02 8:30,2018-10-02 8:40,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-02 8:40,2018-10-02 9:30,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-02 9:30,2018-10-02 9:40,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,높음,높음,,,,,,,,,
2018-10-02 9:40,2018-10-02 10:00,업무,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통,,,,,,,,,
2018-10-02 10:00,2018-10-02 11:00,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통,,,,,,,,,
2018-10-02 11:00,2018-10-02 12:00,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통,,,,,,,,,
2018-10-02 12:00,2018-10-02 13:00,공부,학교|공D304,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,높음,보통,,,,,,,,,
2018-10-02 13:00,2018-10-02 13:10,이동,식당,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,낮음,높음,보통,,,,,,,,,
2018-10-02 13:10,2018-10-02 13:40,삭사,식당,서울시 서대문구 연희동,실내,혼자,양식 | steak,적음,점식,예,보통,낮음,높음,보통,,,,,,,,,
2018-10-02 13:40,2018-10-02 13:50,이동,학교|도서관,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,보통,높음,높음,높음,,,,,,,,,
2018-10-02 13:50,2018-10-02 14:50,공부,학교|도서관,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,높음,높음,높음,,,,,,,,,
2018-10-02 15:00,2018-10-02 16:00,공부,학교|도서관,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,예,긍정,높음,높음,높음,,,,,,,,,
2018-10-02 16:00,2018-10-02 17:00,공부,학교|도서관,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,높음,보통,,,,,,,,,
2018-10-02 17:00,2018-10-02 17:10,식사,학교|도서관,서울시 서대문구 연희동,실내,혼자,기타,적음,간식,예,보통,높음,높음,보통,,,,,,,,,
2018-10-02 17:20,2018-10-02 17:30,식사,학교|도서관,서울시 서대문구 연희동,실내,혼자,기타,적음,간식,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-02 17:40,2018-10-02 17:50,공부,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-02 17:50,2018-10-02 18:00,이동,학교,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-02 18:10,2018-10-02 18:50,공부,학교|공D504,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,보통,높음,낮음,보통,,,,,,,,,
2018-10-02 18:50,2018-10-02 19:00,공부,학교|공D504,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,예,보통,높음,낮음,보통,,,,,,,,,
2018-10-02 19:00,2018-10-02 19:10,이동,야외,서울시 서대문구 연희동,실외,데면한 사람|수미,/,/,/,예,보통,높음,낮음,보통,,,,,,,,,
2018-10-02 19:10,2018-10-02 19:40,식사,상점|편의점,서울시 서대문구 연희동,실내,혼자,기타,적음,간식,아니오,보통,높음,낮음,보통,,,,,,,,,
2018-10-02 19:40,2018-10-02 19:50,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-02 19:50,2018-10-02 20:50,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,높음,높음,보통,,,,,,,,,
2018-10-02 21:00,2018-10-02 21:30,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,높음,낮음,보통,,,,,,,,,
2018-10-02 21:30,2018-10-02 21:40,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,낮음,높음,,,,,,,,,
2018-10-02 21:40,2018-10-02 21:50,식사,집,서울시 서대문구 연희동,실내,혼자,간식,많음,야식,예,보통,높음,낮음,높음,,,,,,,,,
2018-10-02 21:50,2018-10-02 22:00,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,낮음,높음,,,,,,,,,
