start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,,,,,,,,,
2018-10-01 7:00,2018-10-01 7:20,기타,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-01 7:20,2018-10-01 7:30,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-01 7:30,2018-10-01 7:40,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-01 7:40,2018-10-01 8:00,업무,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,높음,,,,,,,,,
2018-10-01 8:00,2018-10-01 8:10,이동,학교,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,긍정,낮음,낮음,높음,,,,,,,,,
2018-10-01 8:10,2018-10-01 8:30,식사,식당,서울시 서대문구 연희동,실내,혼자,한식 | 우유,적음,아침,아니오,긍정,낮음,낮음,높음,,,,,,,,,
2018-10-01 8:30,2018-10-01 8:40,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,긍정,낮음,낮음,보통,,,,,,,,,
2018-10-01 8:40,2018-10-01 9:50,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통,,,,,,,,,
2018-10-01 9:50,2018-10-01 10:00,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통,,,,,,,,,
2018-10-01 10:00,2018-10-01 10:10,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통,,,,,,,,,
2018-10-01 10:10,2018-10-01 10:50,공부,학교|공D605,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통,,,,,,,,,
2018-10-01 10:55,2018-10-01 11:00,이동,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통,,,,,,,,,
2018-10-01 11:00,2018-10-01 11:50,공부,학교|공D405,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,아니오,긍정,높음,보통,보통,,,,,,,,,
2018-10-01 11:50,2018-10-01 12:00,공부,학교|공D405,서울시 서대문구 연희동,실내,데면한 사람|수미,/,/,/,예,긍정,높음,보통,보통,,,,,,,,,
2018-10-01 12:00,2018-10-01 12:10,이동,학교,서울시 서대문구 연희동,실내,데면한 사람|민지,/,/,/,예,긍정,높음,보통,보통,,,,,,,,,
2018-10-01 12:10,2018-10-01 12:30,식사,식당,서울시 서대문구 연희동,실내,혼자,양식 | steak,적음,점식,예,긍정,높음,높음,보통,,,,,,,,,
2018-10-01 12:30,2018-10-01 12:40,식사,식당,서울시 서대문구 연희동,실내,친밀한 사람|영수,양식 | steak,적음,점식,예,보통,높음,높음,보통,,,,,,,,,
2018-10-01 12:40,2018-10-01 12:50,식사,식당,서울시 서대문구 연희동,실내,친밀한 사람|영수,양식 | steak,적음,점식,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-01 12:50,2018-10-01 13:00,이동,학교,서울시 서대문구 연희동,실내,친밀한 사람|영수,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-01 13:00,2018-10-01 14:00,공부,학교|도서관,서울시 서대문구 연희동,실내,친밀한 사람|영수,/,/,/,아니오,긍정,높음,높음,보통,,,,,,,,,
2018-10-01 14:00,2018-10-01 14:10,이동,학교,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,높음,높음,보통,,,,,,,,,
2018-10-01 14:10,2018-10-01 15:00,공부,학교|공D405,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통,,,,,,,,,
2018-10-01 15:00,2018-10-01 15:10,이동,야외,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통,,,,,,,,,
2018-10-01 15:20,2018-10-01 15:40,식사,집,서울시 서대문구 연희동,실내,혼자,중식 | 면,적음,적녁,아니오,보통,높음,보통,보통,,,,,,,,,
2018-10-01 15:40,2018-10-01 17:00,능동적 여가|영화,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통,,,,,,,,,
2018-10-01 17:00,2018-10-01 18:00,능동적 여가|영화,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,높음,높음,보통,,,,,,,,,
2018-10-01 18:00,2018-10-01 19:00,능동적 여가|pc game,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,높음,낮음,보통,,,,,,,,,
2018-10-01 19:00,2018-10-01 20:00,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,낮음,높음,,,,,,,,,
2018-10-01 20:00,2018-10-01 20:30,식사,집,서울시 서대문구 연희동,실내,혼자,간식,메무 많음,야식,예,보통,높음,낮음,높음,,,,,,,,,
2018-10-01 20:30,2018-10-01 20:40,식사,집,서울시 서대문구 연희동,실내,혼자,간식,메무 많음,야식,아니오,보통,높음,낮음,높음,,,,,,,,,
